client_name,client_id,account_type,address,phone_number,email,branch_id,servicing_broker_id,status,issued_on,updated_on,avg_days_between_logins,avg_user_sentiment_score
Christian Hartman,C001611,Personal,"831 Santiago Passage, Jenniferton, WI 58219",(479)749-2716x922,christian.hartman@gomez.com,B_US00787,S001819,Prospect,2005-05-31,2025-11-28,21.243437854344965,7.813218803949162
Elizabeth Chen,C002570,Commercial,"07375 Pena Locks Suite 248, Port Kennethhaven, NE 28679",+1-581-522-6629x482,elizabeth.chen@santiago-cobb.com,B_US00725,S005192,Active,2005-09-19,2025-11-28,9.47274410276398,6.641544304517739
Jennifer Payne,C003734,Personal,"620 Miller Trail Apt. 267, Barberhaven, KY 25108",474-347-1489x236,jennifer.payne@bailey-mathis.com,B_US00725,S009043,Inactive,2005-09-24,2025-11-28,14.71749056214201,6.620624666296541
Jasmine Baker,C002092,Commercial,"07317 Boyd Bridge, West Ronaldfurt, IN 72174",(432)719-1658x75474,jasmine.baker@robertson.info,B_US00787,S002041,Prospect,2005-10-02,2025-11-28,19.04931697852677,9.435216450443178
Phillip Wall,C006646,Commercial,"1741 Travis Cape Suite 695, Youngside, MS 06565",001-827-280-8714x990,phillip.wall@ramirez-valenzuela.com,B_US00377,S007423,Prospect,2005-06-14,2025-11-28,13.425076447291962,8.201090137008842
Amanda Willis,C006374,Personal,"USNS Levy, FPO AE 13499",463-214-7191,amanda.willis@moore.com,B_US00833,S008511,Inactive,2005-03-19,2025-11-28,20.02619472721787,7.863793389030386
David Morgan,C009998,Personal,"993 Smith Centers Suite 100, Villanuevaland, PR 11340",255-728-8249,david.morgan@hogan.org,B_US00833,S006145,Prospect,2004-12-10,2025-11-28,13.022637546178704,9.15254757143487
Kristen Miller,C007791,Commercial,"422 Perry Green Suite 437, South Chelsea, TX 70313",+1-477-217-9848x087,kristen.miller@burton.com,B_US00725,S002582,Inactive,2005-04-02,2025-11-28,7.192845910593556,8.84553884398526
Eric Horn,C008615,Commercial,"69798 Shelia Mill Apt. 696, North Wyatt, NJ 20081",721.417.9841,eric.horn@phillips.biz,B_US00553,S003158,Prospect,2004-12-14,2025-11-28,16.68233869555668,5.216955377672993
Andrew Turner,C008018,Personal,"0657 David Route, Lake Mirandaport, CA 30353",936-826-1803,andrew.turner@dickerson-palmer.org,B_US00787,S002320,Prospect,2005-08-02,2025-11-28,27.59383453258876,7.0822881513427625
Jessica Smith,C008170,Commercial,"1258 Russell Springs, Lake Stephanie, CO 21585",+1-426-977-4527x79975,jessica.smith@haynes-hunt.com,B_US00725,S009747,Active,2005-03-11,2025-11-28,9.199890183496642,6.712812409148375
Michael Cohen,C009510,Commercial,"084 Kara Forge Suite 842, Port Dylan, MS 60082",795.600.6310x189,michael.cohen@pierce-castillo.com,B_US00377,S006213,Prospect,2005-08-08,2025-11-28,3.5714456803522445,4.96186155418844
Brad Robertson,C006262,Commercial,"020 George Plains, Barnesville, AZ 26815",(846)571-3083x84938,brad.robertson@white-hernandez.info,B_US00725,S008822,Active,2005-09-02,2025-11-28,12.811554321159285,6.617260830053441
Eric Smith,C009981,Personal,"97416 Sweeney Overpass Apt. 698, Reyesville, DC 21487",7522598757,eric.smith@williams.com,B_US00787,S008879,Inactive,2005-09-04,2025-11-28,12.02817800915288,9.737609257419484
Robert Adams,C008213,Commercial,"0777 Archer Squares Suite 885, Port Coryton, WA 68118",5607295318,robert.adams@bean.com,B_US00935,S003078,Inactive,2005-07-21,2025-11-28,12.495320846942954,9.437923154249665
Shannon Rice,C003325,Commercial,"PSC 1994, Box 3067, APO AE 47946",+1-236-528-7806x2527,shannon.rice@hansen.biz,B_US00553,S001965,Prospect,2005-04-20,2025-11-28,18.091366435444783,9.942735190159357
Douglas King,C007753,Personal,"55541 Lopez Court, Anneton, MA 22369",943-819-8765x8768,douglas.king@lamb.org,B_US00787,S009767,Active,2005-04-21,2025-11-28,23.552012208970005,5.308649902575656
Michael Johnson,C007424,Personal,"25147 Ronald Shore, Riceton, KS 69854",+1-392-559-2035x32694,michael.johnson@mitchell-jones.com,B_US00725,S007782,Active,2005-02-23,2025-11-28,10.770771826209696,5.71856242411929
