message_id,received_date,sent_date,subject,from_name,from_email,to_email,cc,read_status,hasAttachment
MESS2025-01-05006838,2025-01-06,2025-01-05,Need Clarification on Endorsement Changes for Motor Fleet Policy,Aaron Sanford,aaron.sanford@watts-hill.com,"daniel.mahoney@watts-hill.com,aaron.sanford@watts-hill.com,samantha.robbins@watts-hill.com,kristopher.thomas@watts-hill.com,samantha.robbins@watts-hill.com","ashley.lane@watts-hill.com,daniel.mahoney@watts-hill.com,ashley.lane@watts-hill.com,aaron.sanford@watts-hill.com,kristopher.thomas@watts-hill.com",read,False
MESS2025-08-02001561,2025-08-03,2025-08-02,Policy Renewal Reminders for This Week,Matthew Hicks,matthew.hicks@watts-hill.com,"ashley.lane@watts-hill.com,aaron.dawson@watts-hill.com",aaron.sanford@watts-hill.com,read,True
MESS2025-08-22001722,2025-08-23,2025-08-22,Urgent: Underwriter Feedback on Fire Insurance Application,Aaron Dawson,aaron.dawson@watts-hill.com,victoria.spencer@watts-hill.com,"aaron.dawson@watts-hill.com,ashley.lane@watts-hill.com,samantha.robbins@watts-hill.com,aaron.dawson@watts-hill.com",read,False
MESS2025-04-14005646,2025-04-15,2025-04-14,Client Claim Status: Requesting Supporting Documents,Aaron Sanford,aaron.sanford@watts-hill.com,ashley.lane@watts-hill.com,"victoria.spencer@watts-hill.com,daniel.mahoney@watts-hill.com,ashley.lane@watts-hill.com",unread,True
MESS2025-01-30008423,2025-01-31,2025-01-30,Urgent: Underwriter Feedback on Fire Insurance Application,Kelly Wilcox,kelly.wilcox@watts-hill.com,"matthew.hicks@watts-hill.com,victoria.spencer@watts-hill.com",matthew.hicks@watts-hill.com,read,True
MESS2025-05-26004383,2025-05-27,2025-05-26,Client Claim Status: Requesting Supporting Documents,Victoria Spencer,victoria.spencer@watts-hill.com,"kelly.wilcox@watts-hill.com,daniel.mahoney@watts-hill.com","kristopher.thomas@watts-hill.com,victoria.spencer@watts-hill.com,matthew.hicks@watts-hill.com,victoria.spencer@watts-hill.com",unread,True
MESS2025-08-01009700,2025-08-02,2025-08-01,Reconciliation of Commission Statements – 9,Ashley Lane,ashley.lane@watts-hill.com,ashley.lane@watts-hill.com,"daniel.mahoney@watts-hill.com,daniel.mahoney@watts-hill.com,aaron.sanford@watts-hill.com,aaron.sanford@watts-hill.com,daniel.mahoney@watts-hill.com",read,True
MESS2025-06-19006244,2025-06-20,2025-06-19,Client Claim Status: Requesting Supporting Documents,Victoria Spencer,victoria.spencer@watts-hill.com,kristopher.thomas@watts-hill.com,kristopher.thomas@watts-hill.com,read,True
MESS2025-08-22007858,2025-08-23,2025-08-22,Request for KYC/Business Proofs for New Corporate Client,Kelly Wilcox,kelly.wilcox@watts-hill.com,"aaron.sanford@watts-hill.com,kristopher.thomas@watts-hill.com","micheal.wood@watts-hill.com,matthew.hicks@watts-hill.com",read,True
MESS2025-11-14001334,2025-11-15,2025-11-14,Client Claim Status: Requesting Supporting Documents,Daniel Mahoney,daniel.mahoney@watts-hill.com,"daniel.mahoney@watts-hill.com,kristopher.thomas@watts-hill.com,micheal.wood@watts-hill.com,daniel.mahoney@watts-hill.com","victoria.spencer@watts-hill.com,ashley.lane@watts-hill.com,aaron.dawson@watts-hill.com,kristopher.thomas@watts-hill.com",unread,True
MESS2025-06-02001803,2025-06-03,2025-06-02,Urgent: Underwriter Feedback on Fire Insurance Application,Micheal Wood,micheal.wood@watts-hill.com,"samantha.robbins@watts-hill.com,micheal.wood@watts-hill.com","samantha.robbins@watts-hill.com,samantha.robbins@watts-hill.com,daniel.mahoney@watts-hill.com",read,False
MESS2025-04-05008568,2025-04-06,2025-04-05,Urgent: Underwriter Feedback on Fire Insurance Application,Aaron Sanford,aaron.sanford@watts-hill.com,"ashley.lane@watts-hill.com,kelly.wilcox@watts-hill.com","samantha.robbins@watts-hill.com,victoria.spencer@watts-hill.com,aaron.sanford@watts-hill.com,aaron.sanford@watts-hill.com,aaron.dawson@watts-hill.com",read,True
MESS2025-04-06003995,2025-04-07,2025-04-06,Internal Review: Claim Settlement Delay – Escalation Required,Victoria Spencer,victoria.spencer@watts-hill.com,"micheal.wood@watts-hill.com,aaron.sanford@watts-hill.com",kristopher.thomas@watts-hill.com,read,True
MESS2025-03-15003631,2025-03-16,2025-03-15,Reconciliation of Commission Statements – 11,Victoria Spencer,victoria.spencer@watts-hill.com,"kristopher.thomas@watts-hill.com,aaron.dawson@watts-hill.com,daniel.mahoney@watts-hill.com,victoria.spencer@watts-hill.com,samantha.robbins@watts-hill.com",victoria.spencer@watts-hill.com,read,False
MESS2025-02-12005802,2025-02-13,2025-02-12,Client Claim Status: Requesting Supporting Documents,Micheal Wood,micheal.wood@watts-hill.com,"kristopher.thomas@watts-hill.com,matthew.hicks@watts-hill.com,samantha.robbins@watts-hill.com,daniel.mahoney@watts-hill.com,samantha.robbins@watts-hill.com","kristopher.thomas@watts-hill.com,kristopher.thomas@watts-hill.com,ashley.lane@watts-hill.com,samantha.robbins@watts-hill.com,daniel.mahoney@watts-hill.com",read,True
MESS2025-04-06004642,2025-04-07,2025-04-06,Request for KYC/Business Proofs for New Corporate Client,Aaron Sanford,aaron.sanford@watts-hill.com,"victoria.spencer@watts-hill.com,aaron.dawson@watts-hill.com,kelly.wilcox@watts-hill.com,kristopher.thomas@watts-hill.com","daniel.mahoney@watts-hill.com,ashley.lane@watts-hill.com,kristopher.thomas@watts-hill.com",read,True
