client_name,client_id,account_type,address,phone_number,email,branch_id,servicing_broker_id,status,issued_on,updated_on,avg_days_between_logins,avg_user_sentiment_score
Christian Hartman,C001611,Personal,"7112 James Gardens Apt. 690, Kennedyborough, MD 81909",+1-553-830-9960x5930,christian.hartman@cervantes-rosario.info,B_US00695,S002088,Prospect,2005-05-31,2025-11-28,9.935357136472692,7.094185918993382
Elizabeth Chen,C002570,Commercial,"PSC 6588, Box 2008, APO AP 81074",560.265.0928,elizabeth.chen@sanchez.com,B_US00225,S001110,Inactive,2005-09-19,2025-11-28,3.926766759261948,5.830083730931246
Jennifer Payne,C003734,Personal,"945 Alexandria Motorway, Mirandabury, AS 74673",831-287-0777,jennifer.payne@torres.com,B_US00223,S006084,Inactive,2005-09-24,2025-11-28,18.233583771595363,8.137919601840705
Jasmine Baker,C002092,Commercial,"274 Steven Lock Suite 362, West Claudiatown, IL 38072",001-599-416-3402x661,jasmine.baker@ramirez.net,B_US00256,S008898,Prospect,2005-10-02,2025-11-28,27.163639706111415,5.790688514370139
Phillip Wall,C006646,Commercial,"46444 Jeffery Tunnel, Ashleyview, MH 44727",982.970.9859x35037,phillip.wall@sharp.com,B_US00695,S006383,Prospect,2005-06-14,2025-11-28,8.474848927262817,7.216464830273536
Amanda Willis,C006374,Personal,"917 Amber Views Apt. 281, Travisshire, PR 25910",(433)264-1036x18260,amanda.willis@rivera-davis.com,B_US00695,S007563,Inactive,2005-03-19,2025-11-28,18.658504359498647,7.641000678305469
David Morgan,C009998,Commercial,"4279 Flores Bypass Suite 524, Port Alyssa, UT 15954",9309308829,david.morgan@hughes.com,B_US00966,S004358,Inactive,2004-12-10,2025-11-28,15.520226210192082,7.304707155617057
Kristen Miller,C007791,Personal,"880 Williams Station Suite 597, East Melissaview, MH 08139",+1-601-540-6834x244,kristen.miller@rice.info,B_US00730,S003277,Inactive,2005-04-02,2025-11-28,10.460962856184079,7.791496839297704
Eric Horn,C008615,Personal,"Unit 0117 Box 6532, DPO AE 19462",+1-428-567-1470x37552,eric.horn@smith.com,B_US00695,S004869,Prospect,2004-12-14,2025-11-28,6.313128906888636,7.6958680484944875
Andrew Turner,C008018,Commercial,"5490 Brian Stravenue, South Erikaview, MO 31113",735.435.5719x08229,andrew.turner@tucker.info,B_US00831,S002416,Active,2005-08-02,2025-11-28,11.22144113124083,4.599747622349815
Jessica Smith,C008170,Commercial,"978 Campbell Oval Apt. 134, Jenniferberg, TN 61903",(550)877-1172,jessica.smith@henderson.org,B_US00695,S002672,Active,2005-03-11,2025-11-28,7.317905617986483,7.433905513822785
Michael Cohen,C009510,Commercial,"8000 Kimberly Well Apt. 491, East Belindatown, OH 19584",001-504-331-4166x70892,michael.cohen@jackson-richards.biz,B_US00256,S003483,Prospect,2005-08-08,2025-11-28,27.0979952142099,10.0
Brad Robertson,C006262,Personal,"8550 Wright Path, Toddfurt, WV 67694",880.722.9502,brad.robertson@martinez-hamilton.com,B_US00198,S008854,Inactive,2005-09-02,2025-11-28,18.09702995205929,6.366812777333452
Eric Smith,C009981,Commercial,"6222 Phillips Parkway, Smithstad, AR 11117",679-410-1540x149,eric.smith@price.com,B_US00223,S004467,Prospect,2005-09-04,2025-11-28,2.6603651112665236,10.0
Robert Adams,C008213,Personal,"Unit 4296 Box 2132, DPO AP 36116",(469)783-7059,robert.adams@davis.com,B_US00831,S005410,Prospect,2005-07-21,2025-11-28,17.785709038961343,7.364299715691166
Shannon Rice,C003325,Personal,"60571 Vaughn Loaf, Cobbbury, DE 57525",(901)870-8726x0305,shannon.rice@benson.com,B_US00966,S007830,Prospect,2005-04-20,2025-11-28,22.142739177199097,5.917790737939007
Douglas King,C007753,Commercial,"456 Smith Canyon, Johnsonside, AK 05661",001-514-311-2369x35288,douglas.king@ward-cox.info,B_US00695,S001233,Active,2005-04-21,2025-11-28,17.530897055111602,5.219446485889597
Michael Johnson,C007424,Personal,"6120 Baker Dale, South Juan, NM 88836",001-528-762-0970,michael.johnson@williams-garner.com,B_US00749,S003095,Prospect,2005-02-23,2025-11-28,12.55985464798265,6.759744376356911
Oscar Cisneros,C002054,Commercial,"534 Matthew Parkway, Smithchester, ID 70270",653.927.9531,oscar.cisneros@johnson-reyes.com,B_US00730,S006920,Prospect,2005-11-05,2025-11-28,12.293759169769691,7.4506364991797405
Ronald Larson,C007788,Personal,"60651 Phillip Via, Keithberg, HI 23174",(228)895-3195,ronald.larson@johnson.biz,B_US00966,S005595,Inactive,2005-02-20,2025-11-28,8.425088124176355,5.2302288262405865
Joshua Cabrera,C005688,Commercial,"12854 Jocelyn Plaza, Port Michaelshire, WA 47624",(375)948-9198x60633,joshua.cabrera@bradley-garcia.com,B_US00730,S005330,Inactive,2005-10-15,2025-11-28,15.899765252722975,6.541495146964872
Mason Horton,C003411,Commercial,"3510 Campbell Knoll Apt. 037, North Barbara, NY 69494",955-410-3852x4880,mason.horton@gonzalez.com,B_US00966,S009010,Inactive,2005-11-02,2025-11-28,4.078660607497616,3.584097287189978
Elizabeth Gregory,C004211,Commercial,"02567 Melissa Loop Suite 480, Port Michael, ME 96965",(472)456-0958x7037,elizabeth.gregory@jones-hill.com,B_US00105,S007505,Active,2005-08-08,2025-11-28,19.287320656507873,8.205564537416333
Steven Walker,C003333,Commercial,"5838 Allen Causeway, New Kevinfurt, TX 99849",292-334-2967x2171,steven.walker@taylor.com,B_US00256,S009923,Prospect,2005-11-07,2025-11-28,17.81421805474659,8.540953755542375
Robert Johnston,C006080,Personal,"453 John Mountain, North Andreaville, DC 40931",274-364-6386x767,robert.johnston@hobbs.com,B_US00966,S004332,Inactive,2004-12-24,2025-11-28,27.09813799048772,9.630073613879778
Robert Arnold,C004457,Commercial,"015 Lori Pike Suite 919, New Allisonhaven, NY 39051",+1-636-836-9484x79587,robert.arnold@gardner-miller.info,B_US00831,S006874,Inactive,2005-09-23,2025-11-28,12.669489023331643,7.114506577123355
Antonio Lewis,C009246,Commercial,"3534 Savannah Dam, South Jerryfurt, PW 70948",729-456-9111x55066,antonio.lewis@burke.com,B_US00695,S003503,Active,2005-07-16,2025-11-28,16.26644613737495,7.6332588209024275
Donna Perry,C004402,Personal,"50227 Cody Course Suite 544, West Mark, ID 34319",(847)210-0014x19522,donna.perry@short.com,B_US00105,S001569,Active,2005-01-03,2025-11-28,17.806895654656685,9.489932921014729
Megan Klein,C002691,Commercial,"641 Jeremy Ports Suite 510, Smithport, WV 72078",631-225-8585x45612,megan.klein@brewer.com,B_US00730,S002500,Active,2005-01-27,2025-11-28,9.3438750307781,5.028608866158186
David Schultz,C002628,Commercial,"8820 Cynthia Lock, Lake Amanda, MS 43943",478.791.5892x500,david.schultz@watson.org,B_US00198,S002544,Inactive,2005-05-01,2025-11-28,16.41119753101453,6.533059490277783
Christopher Roberts,C007345,Commercial,"480 Matthew Dale Suite 018, Port Barryfort, MA 63614",307.721.0009x86127,christopher.roberts@roman.info,B_US00105,S001412,Prospect,2005-02-11,2025-11-28,15.058173678203518,7.032104719502615
Kayla Mcdaniel,C002070,Commercial,"PSC 7082, Box 4180, APO AP 30005",001-526-517-2010x5685,kayla.mcdaniel@mcmillan.biz,B_US00198,S005861,Inactive,2005-02-17,2025-11-28,15.449248047476559,8.159365474101454
Troy Johnson,C005295,Commercial,"594 Nicole Glen, Lake Lauraside, IA 89868",655.443.3939x5680,troy.johnson@horton.info,B_US00831,S005126,Inactive,2005-02-20,2025-11-28,18.22949239353422,8.586596579252552
Brenda Phillips,C007096,Commercial,"493 Bell Street Suite 164, East Robert, OR 30147",+1-661-855-0624,brenda.phillips@proctor.com,B_US00256,S006218,Inactive,2005-01-27,2025-11-28,11.968382950798652,6.389067639347243
Mark Ball,C001666,Commercial,"6187 John Ville, Lake Christophershire, VI 83068",001-693-645-1051x064,mark.ball@edwards.com,B_US00966,S001472,Prospect,2005-08-10,2025-11-28,11.176115948947299,7.743606682338934
Christina Thomas,C002030,Commercial,"91600 Cooley Ridge, Robertaview, KS 59968",692-974-7030x2887,christina.thomas@stevenson-williams.biz,B_US00256,S002791,Inactive,2005-03-31,2025-11-28,22.599679177392908,6.033818113663531
Sabrina Levy,C002536,Commercial,"Unit 4719 Box 8786, DPO AP 35818",+1-378-466-9050,sabrina.levy@hammond-wilson.info,B_US00225,S005176,Inactive,2005-05-15,2025-11-28,16.23597676673211,9.910100934538708
Veronica Ruiz,C004579,Personal,"32019 Brooke Pines Apt. 536, West Jeanne, MS 09858",359-471-9504,veronica.ruiz@brewer-williams.biz,B_US00105,S006825,Active,2005-07-25,2025-11-28,15.806189435356114,7.260098788588805
Dawn West,C001499,Personal,"87026 Wagner Pass Suite 154, Port Shannon, CO 04155",915-545-8909,dawn.west@ayers.info,B_US00749,S007786,Active,2005-07-07,2025-11-28,17.590830647686033,7.183747084945826
Elizabeth Mitchell,C003377,Commercial,"USNS Collins, FPO AA 15721",+1-811-825-8136x7506,elizabeth.mitchell@barber.com,B_US00831,S009500,Prospect,2005-01-14,2025-11-28,16.7567306185354,6.058587950191964
Karen Benton,C005083,Commercial,"2045 Steven Road, Harrystad, SC 66412",317.984.1004,karen.benton@dougherty.com,B_US00831,S003791,Active,2005-06-15,2025-11-28,16.01934215076451,6.065488363292189
Tasha Goodman,C005003,Commercial,"37609 Jennifer Fort, New Williamport, OR 62867",(676)250-0822,tasha.goodman@cole-smith.com,B_US00105,S008627,Active,2005-02-20,2025-11-28,20.031750275127493,9.156925322249169
Paul Fisher,C005480,Personal,"12004 Smith Club, Port Franklinmouth, CT 75725",323-952-1580x4046,paul.fisher@mckee-ross.org,B_US00749,S004161,Inactive,2005-08-11,2025-11-28,14.563109666783967,7.759202493243713
Joseph Williams,C003465,Commercial,"2868 Andrew Wells, North Robert, MO 28616",001-314-634-9772x9670,joseph.williams@green.com,B_US00225,S008381,Prospect,2005-07-08,2025-11-28,15.059631281023032,4.2667602748979485
Melissa Walton,C008846,Commercial,"406 Henderson Court, Simpsonland, CA 25411",340.782.8175x1425,melissa.walton@vega.com,B_US00105,S005705,Inactive,2005-03-23,2025-11-28,25.430582322632148,6.7891425701825625
Denise Dunn,C002319,Commercial,"USCGC Young, FPO AA 82462",(713)335-5993x531,denise.dunn@richardson.org,B_US00966,S002080,Inactive,2005-11-23,2025-11-28,3.5421437112334075,8.009965761686091
Allen Kennedy,C006380,Personal,"91076 Rose Ridge Apt. 801, New Andreastad, UT 65093",610-627-5902x3243,allen.kennedy@gibson.com,B_US00198,S007413,Prospect,2005-09-12,2025-11-28,12.83060560480692,8.14692517912576
Shannon Wolf,C005317,Commercial,"07849 Chelsea Cliffs, West Dalefurt, VT 08500",+1-390-680-3994x22531,shannon.wolf@lewis-oconnell.info,B_US00966,S006703,Active,2005-02-28,2025-11-28,12.596293110481314,8.828073756582869
Bob Nunez,C009764,Personal,"4318 Mcdowell Camp Suite 814, South Stuartstad, AZ 45328",(615)868-2379,bob.nunez@rivera.info,B_US00966,S001637,Prospect,2005-04-12,2025-11-28,13.218882304964282,8.987553432886841
Daniel Clark,C009492,Personal,"33537 Kim Brooks Suite 853, North Kimberlyhaven, NJ 12524",811-790-9378x1566,daniel.clark@long.info,B_US00831,S003277,Active,2004-11-29,2025-11-28,21.48995015422682,9.999268074858094
Justin Ramirez,C007828,Personal,"057 Johnson Terrace, Monicachester, AL 80571",426-268-7569x50144,justin.ramirez@sanchez.biz,B_US00749,S007912,Active,2004-12-08,2025-11-28,10.233174269231476,6.353917154917255
